,Title,Date,Link to event,Location
21,JAZZ & Sushi IN THE HANGAR  55 Milano,Sun Nov 13 7:00 PM + 2 more events,https://www.eventbrite.it/e/biglietti-jazz-sushi-in-the-hangar-55-milano-248726306077?aff=ebdssbdestsearch,55 Milano • Milano
22,Milano Whisky Festival & Fine Spirits,Sat Dec 3 2:00 PM,https://www.eventbrite.it/e/biglietti-milano-whisky-festival-fine-spirits-391065095227?aff=ebdssbdestsearch,Fondazione Stelline • Milano
23,Middle Hip Hop Party - Guest NEIMA EZZA,Tomorrow at 11:00 PM,https://www.eventbrite.it/e/middle-hip-hop-party-guest-neima-ezza-tickets-449392373687?aff=ebdssbdestsearch,Fonderie Musicali • Rosolina
24,La Tana del Coniglio,Tomorrow at 9:00 PM,https://www.eventbrite.com/e/biglietti-la-tana-del-coniglio-433569817997?aff=ebdssbdestsearch,Cinema Teatro Concordia • San Benedetto del Tronto
25,Großer Pflanzenverkauf - Berlin,Fri Nov 18 10:00 AM,https://www.eventbrite.de/e/groer-pflanzenverkauf-berlin-tickets-444621714517?aff=ebdssbdestsearch,Kühlhaus Berlin • Berlin
26,PEOPLE & CULTURE FESTIVAL 2022,Today at 10:00 AM,https://www.eventbrite.de/e/people-culture-festival-2022-tickets-429555491037?aff=ebdssbdestsearch,Kino Colosseum • Berlin
31,OPENWINE - Fabbrica del Vapore,Thu Nov 17 7:00 PM,https://www.eventbrite.it/e/biglietti-openwine-fabbrica-del-vapore-318714181697?aff=ebdssbdestsearch,Vapore 1928 • Milano
45,Technologie ve společnosti | Technology in society,Sun Nov 13 9:00 AM,https://www.eventbrite.co.uk/e/technologie-ve-spolecnosti-technology-in-society-tickets-445981270987?aff=ebdssbdestsearch,Fakulta informačních technologií ČVUT v Praze • Praha 6
46,Mädels-Nacht-Flohmarkt Oberschwabenhalle Ravensburg,Fri Dec 2 4:00 PM,https://www.eventbrite.de/e/madels-nacht-flohmarkt-oberschwabenhalle-ravensburg-tickets-414916244657?aff=ebdssbdestsearch,OberschwabenHalle Ravensburg • Ravensburg
48,Il Venerdi del Nuovo Bobino Milano - Pop Friday,Today at 7:00 PM,https://www.eventbrite.it/e/biglietti-il-venerdi-del-nuovo-bobino-milano-pop-friday-421715531507?aff=ebdssbdestsearch,Bobino Milano • Milano
49,Silvester All In - 2022/2023 - Praterinsel,Sat Dec 31 8:00 PM,https://www.eventbrite.de/e/silvester-all-in-20222023-praterinsel-tickets-382837857337?aff=ebdssbdestsearch,Praterinsel • München
50,International Entrepreneurship Education Summit 2022,Fri Nov 25 9:00 AM,https://www.eventbrite.de/e/international-entrepreneurship-education-summit-2022-tickets-223899548577?aff=ebdssbdestsearch,Hochschule der Medien • Stuttgart
51,Adonis (Berlin),Sat Nov 19 7:00 PM,https://www.eventbrite.co.uk/e/adonis-berlin-tickets-421292425987?aff=ebdssbdestsearch,Oyoun • Berlin
52,Tirana FinTech Hive 2022,Wed Nov 16 9:30 AM,https://www.eventbrite.co.uk/e/tirana-fintech-hive-2022-tickets-383077574337?aff=ebdssbdestsearch,"Canadian Institute of Technology (""Instituti Kanadez i Teknologjisë"") • Tirana"
53,PG Connects Jordan 2022,Tomorrow at 8:30 AM,https://www.eventbrite.co.uk/e/pg-connects-jordan-2022-tickets-301305461747?aff=ebdssbdestsearch,King Hussein Bin Talal Convention Centre Managed by Hilton • Sweimeh Balqa Governorate
54,jsTalks Bulgaria 2022 (2 day event),Today at 10:00 AM,https://www.eventbrite.com/e/jstalks-bulgaria-2022-2-day-event-tickets-222836920227?aff=ebdssbdestsearch,John Atanasoff Forum Sofia Tech Park • Sofia
55,Nightout - der Filmcasino Samstag,Tomorrow at 11:00 PM + 13 more events,https://www.eventbrite.de/e/nightout-der-filmcasino-samstag-tickets-438592591247?aff=ebdssbdestsearch,Filmcasino • München
56,ITForum Milano 2022,Tue Nov 29 8:30 AM,https://www.eventbrite.it/e/registrazione-itforum-milano-2022-383388704937?aff=ebdssbdestsearch,Hotel Palazzo delle Stelline • Milano
57,סיפורה של דאטהריילס - מסף פירוק להכנסות של עשרות מיליונים,Tue Nov 22 5:00 PM,https://www.eventbrite.com/e/432893184167?aff=ebdssbdestsearch,Azrieli Sarona Tower • Tel Aviv-Yafo Tel Aviv District
58,Tream live @ Arena Hundsdorf,Fri Dec 2 9:00 PM,https://www.eventbrite.com/e/tream-live-arena-hundsdorf-tickets-399434608667?aff=ebdssbdestsearch,Hundsdorf 20 • Thyrnau
59,American Football Fan Experience Bar Crawl  & Day Party - Munich,Tomorrow at 1:00 PM,https://www.eventbrite.com/e/american-football-fan-experience-bar-crawl-day-party-munich-tickets-413126280827?aff=ebdssbdestsearch,Bapas - Bayrische Tapas • München
60,OPENWINE - LA FESTA DEL VINO | Tutti i ns.eventi!! +393382724181,Tomorrow at 7:30 PM,https://www.eventbrite.it/e/biglietti-openwine-la-festa-del-vino-tutti-i-nseventi-393382724181-171626358057?aff=ebdssbdestsearch,Milano • Milano
61,VCT 2022 Game Changers Day 3 – Thursday,Thu Nov 17 4:00 PM,https://www.eventbrite.de/e/vct-2022-game-changers-day-3-thursday-tickets-444582798117?aff=ebdssbdestsearch,LEC Studio Riot Games • Berlin
62,16. JAPANDULT - DER JAPANISCHE WEIHNACHTSMARKT MÜNCHENS,Sun Dec 4 1:00 PM,https://www.eventbrite.de/e/16-japandult-der-japanische-weihnachtsmarkt-munchens-tickets-456254237707?aff=ebdssbdestsearch,UTOPIA – A HAPPENING PLACE • München
63,VICTORIA'S CLUB VENERDI'/CC | Aperitivo/serata +393382724181,Fri Nov 18 7:30 PM,https://www.eventbrite.it/e/biglietti-victorias-club-venerdicc-aperitivoserata-393382724181-325101396027?aff=ebdssbdestsearch,Victoria's Club • Milano
64,Deutschlands Größte Hausparty | T-LOW Live on Stage | 18.11.22,Fri Nov 18 9:00 PM,https://www.eventbrite.de/e/deutschlands-grote-hausparty-t-low-live-on-stage-181122-tickets-321660835217?aff=ebdssbdestsearch,MEC GmbH Millenium Event Center • Braunschweig
65,Visite al giardino giapponese,Thu Nov 17 2:00 PM + 19 more events,https://www.eventbrite.it/e/biglietti-visite-al-giardino-giapponese-297953255207?aff=ebdssbdestsearch,Istituto Giapponese di Cultura in Roma • Roma
66,Istanbul Blockchain Week - Turkish Delegates,,https://www.eventbrite.co.uk/e/istanbul-blockchain-week-turkish-delegates-tickets-402358153067?aff=ebdssbdestsearch,Hilton Istanbul Bomonti Hotel & Conference Center • Istanbul Istanbul
67,Blockchain Conference,Wed Nov 23 2:30 PM,https://www.eventbrite.it/e/biglietti-blockchain-conference-439046849947?aff=ebdssbdestsearch,H-FARM CAMPUS • Roncade
68,KARAOKE ITALIANO @Scuderia // Ogni Giovedì // Bologna // Ingresso Gratuito,Thu Nov 17 9:00 PM + 4 more events,https://www.eventbrite.it/e/biglietti-karaoke-italiano-scuderia-ogni-giovedi-bologna-ingresso-gratuito-427461708477?aff=ebdssbdestsearch,Scuderia Future Food Living Lab • Bologna
69,UX Night at Vinted (3 Talks),Mon Nov 21 6:30 PM,https://www.eventbrite.com/e/ux-night-at-vinted-3-talks-tickets-457030128417?aff=ebdssbdestsearch,Vinted • Vilnius
70,Keramik Pop-Up Sale Augsburg,Fri Nov 18 10:00 AM,https://www.eventbrite.de/e/keramik-pop-up-sale-augsburg-tickets-459983020597?aff=ebdssbdestsearch,Großer Scheiben-Gasbehälter • Augsburg
71,Luminaria Music by Candelight,Sun Nov 13 6:30 PM + 16 more events,https://www.eventbrite.it/e/biglietti-luminaria-music-by-candelight-432427140217?aff=ebdssbdestsearch,Chiesa di San Paolo entro le Mura • Roma
72,Perspektive Wein 2022,Sun Nov 13 11:00 AM + 1 more event,https://www.eventbrite.de/e/perspektive-wein-2022-tickets-396539900517?aff=ebdssbdestsearch,Kulturbetrieb Wagenhallen • Stuttgart
73,Avvicinamento al mondo del mito e della cultura greca,Thu Nov 17 6:30 PM + 1 more event,https://www.eventbrite.it/e/biglietti-avvicinamento-al-mondo-del-mito-e-della-cultura-greca-428374107487?aff=ebdssbdestsearch,Aula Magna Complesso Beato Pellegrino - Università degli studi di Padova • Padova
74,Seminario I Codici delle Scelte con Daniel Lumera,Sun Nov 20 10:00 AM,https://www.eventbrite.it/e/biglietti-seminario-i-codici-delle-scelte-con-daniel-lumera-434029643347?aff=ebdssbdestsearch,G Hotel Vicenza • Creazzo
75,SIO Festival - München,Fri Nov 25 8:30 PM,https://www.eventbrite.de/e/sio-festival-munchen-tickets-425759697717?aff=ebdssbdestsearch,Backstage Kulturzentrum • München
76,Green World Tour Wien,Tomorrow at 11:00 AM,https://www.eventbrite.de/e/green-world-tour-wien-tickets-230530090707?aff=ebdssbdestsearch,Mensa der neuen Wirtschaftsuni Welthandelsplatz 1 1020 Wien • Wien
77,SUB ZERO PROJECT | Prater DOME Wien,Sun Dec 25 10:00 PM,https://www.eventbrite.at/e/sub-zero-project-prater-dome-wien-tickets-415330604017?aff=ebdssbdestsearch,Prater DOME • Wien
78,Shabbat Dinner,Today at 7:30 PM,https://www.eventbrite.com/e/shabbat-dinner-tickets-429007792857?aff=ebdssbdestsearch,NBN TLV Hub • Tel Aviv-Yafo Tel Aviv District
79,Tech Dating Munich  - Tech conferences & Networking with Engineering Teams,Thu Nov 17 6:30 PM,https://www.eventbrite.com/e/tech-dating-munich-tech-conferences-networking-with-engineering-teams-tickets-415927138267?aff=ebdssbdestsearch,Norcom - AI Software • Munich
80,25.11. RAVE'N'ROLL 2022,Fri Nov 25 9:00 PM,https://www.eventbrite.it/e/2511-ravenroll-2022-tickets-460080682707?aff=ebdssbdestsearch,Fischzuchtweg 30 • Brixen
81,David LaChapelle: Poems and Fevers,Thu Nov 17 6:30 PM,https://www.eventbrite.it/e/biglietti-david-lachapelle-poems-and-fevers-430997554287?aff=ebdssbdestsearch,Deodato Arte via Nerino 2 • Milano
82,Saying the Wrong Thing: An English Comedy Hour in Berlin(Free Entry),Wed Nov 16 7:59 PM + 21 more events,https://www.eventbrite.com/e/saying-the-wrong-thing-an-english-comedy-hour-in-berlinfree-entry-tickets-167609357099?aff=ebdssbdestsearch,Kohlenquelle • Berlin
83,David and Goliath: Sustainable Fashion Panel with t3n,Tue Nov 29 6:30 PM,https://www.eventbrite.com/e/david-and-goliath-sustainable-fashion-panel-with-t3n-tickets-433506478547?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park • Berlin
84,VDSIS präsentiert: Meliah LIVE IN BERLIN mit Bröselmann Thiago Maya uvm.,Sat Nov 26 6:00 PM,https://www.eventbrite.de/e/vdsis-prasentiert-meliah-live-in-berlin-mit-broselmann-thiago-maya-uvm-tickets-458297800057?aff=ebdssbdestsearch,EJF Diakoniezentrum Heiligensee • Berlin
85,Officina futurista,Thu Nov 17 8:00 PM,https://www.eventbrite.it/e/biglietti-officina-futurista-333189919017?aff=ebdssbdestsearch,Teatro Dal Verme • Milano
86,BOBINO CLUB VENERDI'-  POP  FRIDAY/CC | Aperitivo/serata +393382724181,Fri Nov 18 7:00 PM,https://www.eventbrite.it/e/biglietti-bobino-club-venerdi-pop-fridaycc-aperitivoserata-393382724181-157331790621?aff=ebdssbdestsearch,Bobino Milano • Milano
87,Pierino... e la Banda!,Sun Nov 20 5:00 PM,https://www.eventbrite.it/e/biglietti-pierino-e-la-banda-458181070917?aff=ebdssbdestsearch,Teatro Dal Verme • Milano
88,Sound The System @ BASIS VINSCHGAU,Sat Dec 3 9:00 PM,https://www.eventbrite.it/e/sound-the-system-basis-vinschgau-tickets-458224721477?aff=ebdssbdestsearch,BASIS Vinschgau Venosta • Silandro
89,Quando il Dal Verme  era un cinema,Sat Nov 19 4:00 PM,https://www.eventbrite.it/e/biglietti-quando-il-dal-verme-era-un-cinema-333199587937?aff=ebdssbdestsearch,Teatro Dal Verme • Milano
90,AL CENTRO DI ROMA: Creuza de mà di Fabrizio De André con G. Castaldo,Thu Dec 1 6:00 PM,https://www.eventbrite.com/e/biglietti-al-centro-di-roma-creuza-de-ma-di-fabrizio-de-andre-con-g-castaldo-444858151707?aff=ebdssbdestsearch,Palazzo Venezia • Roma
91,New York Comedy Club - Berlin: Main Show,Sun Nov 13 9:00 PM + 5 more events,https://www.eventbrite.com/e/new-york-comedy-club-berlin-main-show-tickets-233758797857?aff=ebdssbdestsearch,Z Bar • Berlin
92,Electronic Friday I 23.12.22 I Backstage München,Fri Dec 23 8:00 PM,https://www.eventbrite.de/e/electronic-friday-i-231222-i-backstage-munchen-tickets-440380498927?aff=ebdssbdestsearch,Backstage Kulturzentrum • München
93,Founders Live Cairo,Wed Nov 30 6:00 PM,https://www.eventbrite.com/e/founders-live-cairo-tickets-431539234467?aff=ebdssbdestsearch,Consoleya • Bab Al Louq Cairo Governorate
94,Forever Kick Off 2023,Sat Jan 21 1:00 PM,https://www.eventbrite.de/e/forever-kick-off-2023-tickets-429039497687?aff=ebdssbdestsearch,Eisbach Studios München • München
95,Prince Charming Live! Mit Miss Ivanka T. & Gästen,Thu Nov 17 8:00 PM + 1 more event,https://www.eventbrite.com/e/prince-charming-live-mit-miss-ivanka-t-gasten-tickets-421762080737?aff=ebdssbdestsearch,Bar Zum schmutzigen Hobby • Berlin
96,Instant theatre con Enrico Bertolino,Tomorrow at 9:00 PM,https://www.eventbrite.it/e/biglietti-instant-theatre-con-enrico-bertolino-432084916617?aff=ebdssbdestsearch,Sala Napoleonica - Ville Ponti • Varese
97,Women in Web3: Startup Pitches with the Women Circle,Tue Nov 15 6:30 PM,https://www.eventbrite.com/e/women-in-web3-startup-pitches-with-the-women-circle-tickets-433509317037?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park • Berlin
98,UKWA Royal Fetz,Tomorrow at 6:00 PM,https://www.eventbrite.at/e/ukwa-royal-fetz-tickets-364053101627?aff=ebdssbdestsearch,Gössendorf • Gössendorf
99,SORTIE Club & Teras - Turkish Clubbing - Every Saturday,Tomorrow at 11:00 PM + 15 more events,https://www.eventbrite.de/e/sortie-club-teras-turkish-clubbing-every-saturday-tickets-417882958177?aff=ebdssbdestsearch,SORTIE Club & Teras • München
100,MILANO CAFE' VENERDI'  | Aperitivo/serata info +393382724181,Fri Nov 18 8:00 PM,https://www.eventbrite.it/e/biglietti-milano-cafe-venerdi-aperitivoserata-info-393382724181-241991642517?aff=ebdssbdestsearch,Milano Cafè • Milano
101,Advanced Toolbox For The Data Protection Officer,Wed Nov 23 4:00 PM,https://www.eventbrite.com/e/advanced-toolbox-for-the-data-protection-officer-tickets-425070255577?aff=ebdssbdestsearch,Mine • Tel Aviv-Yafo Tel Aviv District
102,Unicorns in Tech Get-Together - hosted by Deutsche Bahn,Thu Nov 17 7:00 PM,https://www.eventbrite.de/e/unicorns-in-tech-get-together-hosted-by-deutsche-bahn-tickets-439690123997?aff=ebdssbdestsearch,EUREF Campus • Berlin
103,VERTICAL HORIZION ROME by QUIET ENSEMBLE,Today at 7:30 PM + 8 more events,https://www.eventbrite.com/e/biglietti-vertical-horizion-rome-by-quiet-ensemble-454014588857?aff=ebdssbdestsearch,Villa di Fiorano • Roma
104,Unstoppable Women,Mon Nov 14 4:30 PM,https://www.eventbrite.it/e/biglietti-unstoppable-women-429560997507?aff=ebdssbdestsearch,Spazio Lenovo • Milano
105,8. JAPANMARKT BERLIN - DER JAPANISCHE WEIHNACHTSMARKT BERLINS,Sun Nov 27 12:00 PM,https://www.eventbrite.de/e/8-japanmarkt-berlin-der-japanische-weihnachtsmarkt-berlins-tickets-452996333227?aff=ebdssbdestsearch,Festsaal Kreuzberg Biergarten • Berlin
106,جوا البالونة الزرقا - حفل موسيقي مع علي عيسى وأيمن عصفور,Tomorrow at 7:00 PM,https://www.eventbrite.com/e/459961847267?aff=ebdssbdestsearch,Jesuit Cultural Center • CLEOPATRA Alexandria Governorate
107,MIKE WILLIAMS | Prater DOME Wien,Sat Dec 17 10:00 PM,https://www.eventbrite.at/e/mike-williams-prater-dome-wien-tickets-415322178817?aff=ebdssbdestsearch,Prater DOME • Wien
108,EATALY VINO FESTIVAL - Essen Wein & Musik,Thu Nov 24 6:00 PM,https://www.eventbrite.de/e/eataly-vino-festival-essen-wein-musik-tickets-447658327107?aff=ebdssbdestsearch,Eataly München • München
109,Fesch'markt Wien - Das Marktfestival für Design Food & Lifestyle,Today at 2:00 PM,https://www.eventbrite.com/e/feschmarkt-wien-das-marktfestival-fur-design-food-lifestyle-tickets-423149971957?aff=ebdssbdestsearch,Ottakringer Brauerei • Wien
110,U Feel x Half Baked,Fri Nov 18 11:59 PM,https://www.eventbrite.it/e/biglietti-u-feel-x-half-baked-464251828717?aff=ebdssbdestsearch,Super Club • Milano
111,Milano Wargames - AREA GDR,Sun Nov 27 10:00 AM,https://www.eventbrite.it/e/biglietti-milano-wargames-area-gdr-444014207447?aff=ebdssbdestsearch,Parco Esposizioni Novegro • Novegro-Tregarezzo
112,BNB Chain Innovation Meetup - İstanbul,Tue Nov 15 6:00 PM,https://www.eventbrite.com/e/bnb-chain-innovation-meetup-istanbul-tickets-460150341057?aff=ebdssbdestsearch,Bomonti bira fabrikası • Istanbul İstanbul
113,Discothèque - New Years Eve 2022/23,Sat Dec 31 9:00 PM,https://www.eventbrite.de/e/discotheque-new-years-eve-202223-tickets-405297073457?aff=ebdssbdestsearch,Spindler & Klatt • Berlin
114,Decentralized Sustainability: Blockchain & Web3.0 enabling a greener future,Thu Dec 1 3:30 PM,https://www.eventbrite.co.uk/e/decentralized-sustainability-blockchain-web30-enabling-a-greener-future-tickets-441465785047?aff=ebdssbdestsearch,Impact Hub Berlin • Berlin
115,Future Talk: The Future of Air Travel,Mon Nov 14 5:00 PM,https://www.eventbrite.at/e/future-talk-the-future-of-air-travel-tickets-420382002887?aff=ebdssbdestsearch,Vienna AirportCity Office Park 4 • Schwechat
116,TUM IDEAward 2022,Thu Nov 24 6:00 PM,https://www.eventbrite.de/e/tum-ideaward-2022-registration-443182539907?aff=ebdssbdestsearch,Foyer Audimax • München
117,Corridoio o finestrino? Prenota un posto vicino a Sammy,Wed Nov 16 8:30 PM,https://www.eventbrite.it/e/biglietti-corridoio-o-finestrino-prenota-un-posto-vicino-a-sammy-426730852467?aff=ebdssbdestsearch,Multisala Corso • Treviso
118,Open Day - Scopri H-FARM International School,Tomorrow at 10:00 AM,https://www.eventbrite.it/e/open-day-scopri-h-farm-international-school-tickets-439021203237?aff=ebdssbdestsearch,H-FARM CAMPUS • Roncade
119,Evento special Vintage Calle Corte Legrenzi,Tomorrow at 10:00 AM,https://www.eventbrite.com/e/biglietti-evento-special-vintage-calle-corte-legrenzi-443367021697?aff=ebdssbdestsearch,Corte Legrenzi • Venezia
120,The Shade - 12 Novembre,Tomorrow at 8:00 PM,https://www.eventbrite.it/e/biglietti-the-shade-12-novembre-456896950077?aff=ebdssbdestsearch,Limonaia di Villa Strozzi • Firenze
121,TalksOnDesign: Design System alla ricerca della coerenza,Tue Nov 15 6:30 PM,https://www.eventbrite.it/e/biglietti-talksondesign-design-system-alla-ricerca-della-coerenza-428568759697?aff=ebdssbdestsearch,Nana Bianca • Firenze
122,Current Trends in Funding Israel and Worldwide,Sun Nov 13 6:45 PM,https://www.eventbrite.co.uk/e/current-trends-in-funding-israel-and-worldwide-tickets-460633696787?aff=ebdssbdestsearch,דיזי פרישדון • תל אביב מחוז תל אביב
123,BeThrifty Vintage Kilo Sale | München | 25. & 26.  November,Fri Nov 25 1:00 PM + 1 more event,https://www.eventbrite.ca/e/bethrifty-vintage-kilo-sale-munchen-25-26-november-tickets-430812430577?aff=ebdssbdestsearch,Audi Dome • München
124,Eurekalabria | ITNOG on the Road - Lamezia Terme,Wed Nov 16 9:00 AM,https://www.eventbrite.it/e/biglietti-eurekalabria-itnog-on-the-road-lamezia-terme-450442273967?aff=ebdssbdestsearch,Lamezia Terme • Lamezia Terme
125,Caccia al Tesoro a Treviso_settima tappa TCW2022,Sun Nov 13 10:00 AM,https://www.eventbrite.it/e/biglietti-caccia-al-tesoro-a-treviso-settima-tappa-tcw2022-442939212107?aff=ebdssbdestsearch,Treviso • Treviso
126,EdTech after the Pandemic: Successes and Learnings,Thu Dec 1 6:30 PM,https://www.eventbrite.com/e/edtech-after-the-pandemic-successes-and-learnings-tickets-433514973957?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park • Berlin
127,"Liceo Classico ""S.M. Legnani""- Open Day n.1 -  20",Sun Nov 20 8:30 AM,https://www.eventbrite.it/e/biglietti-liceo-classico-sm-legnani-open-day-n1-20-439216457247?aff=ebdssbdestsearch,Via Angelo Volonterio 34 • Saronno
128,La Casa di Babbo Natale Arezzo,Fri Nov 25 12:00 PM + 204 more events,https://www.eventbrite.it/e/biglietti-la-casa-di-babbo-natale-arezzo-421314953367?aff=ebdssbdestsearch,Palazzo della Fraternita dei Laici • Arezzo
129,Napa Talks 2022 & Award Ceremony,Fri Nov 18 11:00 AM,https://www.eventbrite.com/e/napa-talks-2022-award-ceremony-tickets-438933089687?aff=ebdssbdestsearch,MO muziejus • Vilnius
130,25° Compleanno THE SUN - EVENTO ESCLUSIVO @Assisi,Sat Dec 3 7:30 PM,https://www.eventbrite.it/e/biglietti-25-compleanno-the-sun-evento-esclusivo-assisi-413286439867?aff=ebdssbdestsearch,Teatro Lyrick Assisi • Santa Maria degli Angeli
131,Alt-Finance Day 2022,Thu Nov 24 9:15 AM,https://www.eventbrite.it/e/biglietti-alt-finance-day-2022-439070310117?aff=ebdssbdestsearch,Palazzo dei Giureconsulti • Milano
132,Beyond green - alle radici della vera sostenibilità,Fri Nov 25 3:00 PM,https://www.eventbrite.it/e/biglietti-beyond-green-alle-radici-della-vera-sostenibilita-420561900967?aff=ebdssbdestsearch,Auditorium Campus Scientifico Università Ca' Foscari • Mestre
133,"★LIVE STAND UP COMEDY★im Comedy Club ""Mad Monkey Room"" | 18:00h| 030 COMEDY",Sun Nov 13 6:00 PM + 34 more events,https://www.eventbrite.de/e/live-stand-up-comedyim-comedy-club-mad-monkey-room-1800h-030-comedy-tickets-383463679187?aff=ebdssbdestsearch,Mad Monkey Room • Berlin
134,DAMA Italy Annual Convention 2022,Fri Nov 25 9:30 AM,https://www.eventbrite.it/e/biglietti-dama-italy-annual-convention-2022-429060841527?aff=ebdssbdestsearch,FICO Eataly World • Bologna
135,NOTTURNA: Viaggio nei Tarocchi tra affreschi e mistero,Sat Nov 26 9:00 PM,https://www.eventbrite.it/e/biglietti-notturna-viaggio-nei-tarocchi-tra-affreschi-e-mistero-411339045157?aff=ebdssbdestsearch,CASTELLO DI MALPAGA • CAVERNAGO
136,Thanksgiving Dinner,Thu Nov 24 7:00 PM,https://www.eventbrite.com/e/thanksgiving-dinner-tickets-429043930947?aff=ebdssbdestsearch,NBN TLV Hub • Tel Aviv-Yafo Tel Aviv District
137,87. ZEIT Forum Wissenschaft,Wed Nov 23 7:00 PM,https://www.eventbrite.de/e/87-zeit-forum-wissenschaft-tickets-458445040457?aff=ebdssbdestsearch,Berlin-Brandenburgische Akademie der Wissenschaften • Berlin
138,silent.move walk'n'dance disco tour // Berlin.,Fri Nov 18 8:30 PM + 7 more events,https://www.eventbrite.de/e/silentmove-walkndance-disco-tour-berlin-tickets-157180987565?aff=ebdssbdestsearch,Gendarmenmarkt • Berlin
139,Next Block Expo OPENING PARTY - Blockchain Festival Night 1,Tue Nov 22 10:00 PM,https://www.eventbrite.com/e/next-block-expo-opening-party-blockchain-festival-night-1-tickets-453915903687?aff=ebdssbdestsearch,Warschauer Pl. 18 • Berlin
140,OPEN DAY  | Corsi di Disegno e Pittura | Milano Painting Academy,Tomorrow at 10:30 AM + 1 more event,https://www.eventbrite.it/e/biglietti-open-day-corsi-di-disegno-e-pittura-milano-painting-academy-172957489507?aff=ebdssbdestsearch,Via Francesco de Sanctis 34 • Milano
