Title,Date,Link to event,Location
SHAKE IT OFF!  Pop Dance Party • Sa 19.11.22 • Astra Kulturhaus Berlin,Sun Nov 19 11:00:00 CET 2022,https://www.eventbrite.de/e/shake-it-off-pop-dance-party-sa-191122-astra-kulturhaus-berlin-tickets-433205688877?aff=ebdssbdestsearch,Astra Kulturhaus Berlin
VinNatur Venezia 2022,Mon Nov 13 10:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-vinnatur-venezia-2022-414739415757?aff=ebdssbdestsearch,San Francesco della Vigna Venezia
GATE MILANO - SABATO OMAGGIO DONNA | Infoline +393382724181,No Date,https://www.eventbrite.it/e/biglietti-gate-milano-sabato-omaggio-donna-infoline-393382724181-122712068099?aff=ebdssbdestsearch,Gate Milano Milano
JAZZ & Sushi IN THE HANGAR  55 Milano,Mon Nov 13 07:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-jazz-sushi-in-the-hangar-55-milano-248726306077?aff=ebdssbdestsearch,55 Milano Milano
Milano Whisky Festival & Fine Spirits,Sun Dec 03 02:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-milano-whisky-festival-fine-spirits-391065095227?aff=ebdssbdestsearch,Fondazione Stelline Milano
Middle Hip Hop Party - Guest NEIMA EZZA,No Date,https://www.eventbrite.it/e/middle-hip-hop-party-guest-neima-ezza-tickets-449392373687?aff=ebdssbdestsearch,Fonderie Musicali Rosolina
La Tana del Coniglio,No Date,https://www.eventbrite.com/e/biglietti-la-tana-del-coniglio-433569817997?aff=ebdssbdestsearch,Cinema Teatro Concordia San Benedetto del Tronto
Großer Pflanzenverkauf - Berlin,Sat Nov 18 10:00:00 CET 2022,https://www.eventbrite.de/e/groer-pflanzenverkauf-berlin-tickets-444621714517?aff=ebdssbdestsearch,Kühlhaus Berlin Berlin
PEOPLE & CULTURE FESTIVAL 2022,No Date,https://www.eventbrite.de/e/people-culture-festival-2022-tickets-429555491037?aff=ebdssbdestsearch,Kino Colosseum Berlin
OPENWINE - Fabbrica del Vapore,Fri Nov 17 07:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-openwine-fabbrica-del-vapore-318714181697?aff=ebdssbdestsearch,Vapore 1928 Milano
Technologie ve spole�?nosti | Technology in society,Mon Nov 13 09:00:00 CET 2022,https://www.eventbrite.co.uk/e/technologie-ve-spolecnosti-technology-in-society-tickets-445981270987?aff=ebdssbdestsearch,Fakulta informa�?ních technologií ČVUT v Praze Praha 6
Mädels-Nacht-Flohmarkt Oberschwabenhalle Ravensburg,Sat Dec 02 04:00:00 CET 2022,https://www.eventbrite.de/e/madels-nacht-flohmarkt-oberschwabenhalle-ravensburg-tickets-414916244657?aff=ebdssbdestsearch,OberschwabenHalle Ravensburg Ravensburg
Il Venerdi del Nuovo Bobino Milano - Pop Friday,No Date,https://www.eventbrite.it/e/biglietti-il-venerdi-del-nuovo-bobino-milano-pop-friday-421715531507?aff=ebdssbdestsearch,Bobino Milano Milano
Silvester All In - 2022/2023 - Praterinsel,Sun Dec 31 08:00:00 CET 2022,https://www.eventbrite.de/e/silvester-all-in-20222023-praterinsel-tickets-382837857337?aff=ebdssbdestsearch,Praterinsel München
International Entrepreneurship Education Summit 2022,Sat Nov 25 09:00:00 CET 2022,https://www.eventbrite.de/e/international-entrepreneurship-education-summit-2022-tickets-223899548577?aff=ebdssbdestsearch,Hochschule der Medien Stuttgart
Adonis (Berlin),Sun Nov 19 07:00:00 CET 2022,https://www.eventbrite.co.uk/e/adonis-berlin-tickets-421292425987?aff=ebdssbdestsearch,Oyoun Berlin
Tirana FinTech Hive 2022,Thu Nov 16 09:30:00 CET 2022,https://www.eventbrite.co.uk/e/tirana-fintech-hive-2022-tickets-383077574337?aff=ebdssbdestsearch,"Canadian Institute of Technology (""Instituti Kanadez i Teknologjisë"") Tirana"
PG Connects Jordan 2022,No Date,https://www.eventbrite.co.uk/e/pg-connects-jordan-2022-tickets-301305461747?aff=ebdssbdestsearch,King Hussein Bin Talal Convention Centre Managed by Hilton Sweimeh Balqa Governorate
jsTalks Bulgaria 2022 (2 day event),No Date,https://www.eventbrite.com/e/jstalks-bulgaria-2022-2-day-event-tickets-222836920227?aff=ebdssbdestsearch,John Atanasoff Forum Sofia Tech Park Sofia
Nightout - der Filmcasino Samstag,No Date,https://www.eventbrite.de/e/nightout-der-filmcasino-samstag-tickets-438592591247?aff=ebdssbdestsearch,Filmcasino München
ITForum Milano 2022,Wed Nov 29 08:30:00 CET 2022,https://www.eventbrite.it/e/registrazione-itforum-milano-2022-383388704937?aff=ebdssbdestsearch,Hotel Palazzo delle Stelline Milano
סיפורה של ד�?טהריילס - מסף פירוק להכנסות של עשרות מיליוני�?,Wed Nov 22 05:00:00 CET 2022,https://www.eventbrite.com/e/432893184167?aff=ebdssbdestsearch,Azrieli Sarona Tower Tel Aviv-Yafo Tel Aviv District
Tream live @ Arena Hundsdorf,Sat Dec 02 09:00:00 CET 2022,https://www.eventbrite.com/e/tream-live-arena-hundsdorf-tickets-399434608667?aff=ebdssbdestsearch,Hundsdorf 20 Thyrnau
American Football Fan Experience Bar Crawl  & Day Party - Munich,No Date,https://www.eventbrite.com/e/american-football-fan-experience-bar-crawl-day-party-munich-tickets-413126280827?aff=ebdssbdestsearch,Bapas - Bayrische Tapas München
OPENWINE - LA FESTA DEL VINO | Tutti i ns.eventi!! +393382724181,No Date,https://www.eventbrite.it/e/biglietti-openwine-la-festa-del-vino-tutti-i-nseventi-393382724181-171626358057?aff=ebdssbdestsearch,Milano Milano
VCT 2022 Game Changers Day 3 – Thursday,Fri Nov 17 04:00:00 CET 2022,https://www.eventbrite.de/e/vct-2022-game-changers-day-3-thursday-tickets-444582798117?aff=ebdssbdestsearch,LEC Studio Riot Games Berlin
16. JAPANDULT - DER JAPANISCHE WEIHNACHTSMARKT MÜNCHENS,Mon Dec 04 01:00:00 CET 2022,https://www.eventbrite.de/e/16-japandult-der-japanische-weihnachtsmarkt-munchens-tickets-456254237707?aff=ebdssbdestsearch,UTOPIA – A HAPPENING PLACE München
VICTORIA'S CLUB VENERDI'/CC | Aperitivo/serata +393382724181,Sat Nov 18 07:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-victorias-club-venerdicc-aperitivoserata-393382724181-325101396027?aff=ebdssbdestsearch,Victoria's Club Milano
Deutschlands Größte Hausparty | T-LOW Live on Stage | 18.11.22,Sat Nov 18 09:00:00 CET 2022,https://www.eventbrite.de/e/deutschlands-grote-hausparty-t-low-live-on-stage-181122-tickets-321660835217?aff=ebdssbdestsearch,MEC GmbH Millenium Event Center Braunschweig
Visite al giardino giapponese,Fri Nov 17 02:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-visite-al-giardino-giapponese-297953255207?aff=ebdssbdestsearch,Istituto Giapponese di Cultura in Roma Roma
Istanbul Blockchain Week - Turkish Delegates,No Date,https://www.eventbrite.co.uk/e/istanbul-blockchain-week-turkish-delegates-tickets-402358153067?aff=ebdssbdestsearch,Hilton Istanbul Bomonti Hotel & Conference Center Istanbul Istanbul
Blockchain Conference,Thu Nov 23 02:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-blockchain-conference-439046849947?aff=ebdssbdestsearch,H-FARM CAMPUS Roncade
KARAOKE ITALIANO @Scuderia // Ogni Giovedì // Bologna // Ingresso Gratuito,Fri Nov 17 09:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-karaoke-italiano-scuderia-ogni-giovedi-bologna-ingresso-gratuito-427461708477?aff=ebdssbdestsearch,Scuderia Future Food Living Lab Bologna
UX Night at Vinted (3 Talks),Tue Nov 21 06:30:00 CET 2022,https://www.eventbrite.com/e/ux-night-at-vinted-3-talks-tickets-457030128417?aff=ebdssbdestsearch,Vinted Vilnius
Keramik Pop-Up Sale Augsburg,Sat Nov 18 10:00:00 CET 2022,https://www.eventbrite.de/e/keramik-pop-up-sale-augsburg-tickets-459983020597?aff=ebdssbdestsearch,Großer Scheiben-Gasbehälter Augsburg
Luminaria Music by Candelight,Mon Nov 13 06:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-luminaria-music-by-candelight-432427140217?aff=ebdssbdestsearch,Chiesa di San Paolo entro le Mura Roma
Perspektive Wein 2022,Mon Nov 13 11:00:00 CET 2022,https://www.eventbrite.de/e/perspektive-wein-2022-tickets-396539900517?aff=ebdssbdestsearch,Kulturbetrieb Wagenhallen Stuttgart
Avvicinamento al mondo del mito e della cultura greca,Fri Nov 17 06:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-avvicinamento-al-mondo-del-mito-e-della-cultura-greca-428374107487?aff=ebdssbdestsearch,Aula Magna Complesso Beato Pellegrino - Università degli studi di Padova Padova
Seminario I Codici delle Scelte con Daniel Lumera,Mon Nov 20 10:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-seminario-i-codici-delle-scelte-con-daniel-lumera-434029643347?aff=ebdssbdestsearch,G Hotel Vicenza Creazzo
SIO Festival - München,Sat Nov 25 08:30:00 CET 2022,https://www.eventbrite.de/e/sio-festival-munchen-tickets-425759697717?aff=ebdssbdestsearch,Backstage Kulturzentrum München
Green World Tour Wien,No Date,https://www.eventbrite.de/e/green-world-tour-wien-tickets-230530090707?aff=ebdssbdestsearch,Mensa der neuen Wirtschaftsuni Welthandelsplatz 1 1020 Wien Wien
SUB ZERO PROJECT | Prater DOME Wien,Mon Dec 25 10:00:00 CET 2022,https://www.eventbrite.at/e/sub-zero-project-prater-dome-wien-tickets-415330604017?aff=ebdssbdestsearch,Prater DOME Wien
Shabbat Dinner,No Date,https://www.eventbrite.com/e/shabbat-dinner-tickets-429007792857?aff=ebdssbdestsearch,NBN TLV Hub Tel Aviv-Yafo Tel Aviv District
Tech Dating Munich  - Tech conferences & Networking with Engineering Teams,Fri Nov 17 06:30:00 CET 2022,https://www.eventbrite.com/e/tech-dating-munich-tech-conferences-networking-with-engineering-teams-tickets-415927138267?aff=ebdssbdestsearch,Norcom - AI Software Munich
25.11. RAVE'N'ROLL 2022,Sat Nov 25 09:00:00 CET 2022,https://www.eventbrite.it/e/2511-ravenroll-2022-tickets-460080682707?aff=ebdssbdestsearch,Fischzuchtweg 30 Brixen
David LaChapelle: Poems and Fevers,Fri Nov 17 06:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-david-lachapelle-poems-and-fevers-430997554287?aff=ebdssbdestsearch,Deodato Arte via Nerino 2 Milano
Saying the Wrong Thing: An English Comedy Hour in Berlin(Free Entry),Thu Nov 16 07:59:00 CET 2022,https://www.eventbrite.com/e/saying-the-wrong-thing-an-english-comedy-hour-in-berlinfree-entry-tickets-167609357099?aff=ebdssbdestsearch,Kohlenquelle Berlin
David and Goliath: Sustainable Fashion Panel with t3n,Wed Nov 29 06:30:00 CET 2022,https://www.eventbrite.com/e/david-and-goliath-sustainable-fashion-panel-with-t3n-tickets-433506478547?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park Berlin
VDSIS präsentiert: Meliah LIVE IN BERLIN mit Bröselmann Thiago Maya uvm.,Sun Nov 26 06:00:00 CET 2022,https://www.eventbrite.de/e/vdsis-prasentiert-meliah-live-in-berlin-mit-broselmann-thiago-maya-uvm-tickets-458297800057?aff=ebdssbdestsearch,EJF Diakoniezentrum Heiligensee Berlin
Officina futurista,Fri Nov 17 08:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-officina-futurista-333189919017?aff=ebdssbdestsearch,Teatro Dal Verme Milano
BOBINO CLUB VENERDI'-  POP  FRIDAY/CC | Aperitivo/serata +393382724181,Sat Nov 18 07:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-bobino-club-venerdi-pop-fridaycc-aperitivoserata-393382724181-157331790621?aff=ebdssbdestsearch,Bobino Milano Milano
Pierino... e la Banda!,Mon Nov 20 05:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-pierino-e-la-banda-458181070917?aff=ebdssbdestsearch,Teatro Dal Verme Milano
Sound The System @ BASIS VINSCHGAU,Sun Dec 03 09:00:00 CET 2022,https://www.eventbrite.it/e/sound-the-system-basis-vinschgau-tickets-458224721477?aff=ebdssbdestsearch,BASIS Vinschgau Venosta Silandro
Quando il Dal Verme  era un cinema,Sun Nov 19 04:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-quando-il-dal-verme-era-un-cinema-333199587937?aff=ebdssbdestsearch,Teatro Dal Verme Milano
AL CENTRO DI ROMA: Creuza de mà di Fabrizio De André con G. Castaldo,Fri Dec 01 06:00:00 CET 2022,https://www.eventbrite.com/e/biglietti-al-centro-di-roma-creuza-de-ma-di-fabrizio-de-andre-con-g-castaldo-444858151707?aff=ebdssbdestsearch,Palazzo Venezia Roma
New York Comedy Club - Berlin: Main Show,Mon Nov 13 09:00:00 CET 2022,https://www.eventbrite.com/e/new-york-comedy-club-berlin-main-show-tickets-233758797857?aff=ebdssbdestsearch,Z Bar Berlin
Electronic Friday I 23.12.22 I Backstage München,Sat Dec 23 08:00:00 CET 2022,https://www.eventbrite.de/e/electronic-friday-i-231222-i-backstage-munchen-tickets-440380498927?aff=ebdssbdestsearch,Backstage Kulturzentrum München
Founders Live Cairo,Thu Nov 30 06:00:00 CET 2022,https://www.eventbrite.com/e/founders-live-cairo-tickets-431539234467?aff=ebdssbdestsearch,Consoleya Bab Al Louq Cairo Governorate
Forever Kick Off 2023,Sat Jan 21 01:00:00 CET 2022,https://www.eventbrite.de/e/forever-kick-off-2023-tickets-429039497687?aff=ebdssbdestsearch,Eisbach Studios München München
Prince Charming Live! Mit Miss Ivanka T. & Gästen,Fri Nov 17 08:00:00 CET 2022,https://www.eventbrite.com/e/prince-charming-live-mit-miss-ivanka-t-gasten-tickets-421762080737?aff=ebdssbdestsearch,Bar Zum schmutzigen Hobby Berlin
Instant theatre con Enrico Bertolino,No Date,https://www.eventbrite.it/e/biglietti-instant-theatre-con-enrico-bertolino-432084916617?aff=ebdssbdestsearch,Sala Napoleonica - Ville Ponti Varese
Women in Web3: Startup Pitches with the Women Circle,Wed Nov 15 06:30:00 CET 2022,https://www.eventbrite.com/e/women-in-web3-startup-pitches-with-the-women-circle-tickets-433509317037?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park Berlin
UKWA Royal Fetz,No Date,https://www.eventbrite.at/e/ukwa-royal-fetz-tickets-364053101627?aff=ebdssbdestsearch,Gössendorf Gössendorf
SORTIE Club & Teras - Turkish Clubbing - Every Saturday,No Date,https://www.eventbrite.de/e/sortie-club-teras-turkish-clubbing-every-saturday-tickets-417882958177?aff=ebdssbdestsearch,SORTIE Club & Teras München
MILANO CAFE' VENERDI'  | Aperitivo/serata info +393382724181,Sat Nov 18 08:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-milano-cafe-venerdi-aperitivoserata-info-393382724181-241991642517?aff=ebdssbdestsearch,Milano Cafè Milano
Advanced Toolbox For The Data Protection Officer,Thu Nov 23 04:00:00 CET 2022,https://www.eventbrite.com/e/advanced-toolbox-for-the-data-protection-officer-tickets-425070255577?aff=ebdssbdestsearch,Mine Tel Aviv-Yafo Tel Aviv District
Unicorns in Tech Get-Together - hosted by Deutsche Bahn,Fri Nov 17 07:00:00 CET 2022,https://www.eventbrite.de/e/unicorns-in-tech-get-together-hosted-by-deutsche-bahn-tickets-439690123997?aff=ebdssbdestsearch,EUREF Campus Berlin
VERTICAL HORIZION ROME by QUIET ENSEMBLE,No Date,https://www.eventbrite.com/e/biglietti-vertical-horizion-rome-by-quiet-ensemble-454014588857?aff=ebdssbdestsearch,Villa di Fiorano Roma
Unstoppable Women,Tue Nov 14 04:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-unstoppable-women-429560997507?aff=ebdssbdestsearch,Spazio Lenovo Milano
8. JAPANMARKT BERLIN - DER JAPANISCHE WEIHNACHTSMARKT BERLINS,Mon Nov 27 12:00:00 CET 2022,https://www.eventbrite.de/e/8-japanmarkt-berlin-der-japanische-weihnachtsmarkt-berlins-tickets-452996333227?aff=ebdssbdestsearch,Festsaal Kreuzberg Biergarten Berlin
جوا البالونة الزرقا - ح�?ل موسيقي مع علي عيسى وأيمن عص�?ور,No Date,https://www.eventbrite.com/e/459961847267?aff=ebdssbdestsearch,Jesuit Cultural Center CLEOPATRA Alexandria Governorate
MIKE WILLIAMS | Prater DOME Wien,Sun Dec 17 10:00:00 CET 2022,https://www.eventbrite.at/e/mike-williams-prater-dome-wien-tickets-415322178817?aff=ebdssbdestsearch,Prater DOME Wien
EATALY VINO FESTIVAL - Essen Wein & Musik,Fri Nov 24 06:00:00 CET 2022,https://www.eventbrite.de/e/eataly-vino-festival-essen-wein-musik-tickets-447658327107?aff=ebdssbdestsearch,Eataly München München
Fesch'markt Wien - Das Marktfestival für Design Food & Lifestyle,No Date,https://www.eventbrite.com/e/feschmarkt-wien-das-marktfestival-fur-design-food-lifestyle-tickets-423149971957?aff=ebdssbdestsearch,Ottakringer Brauerei Wien
U Feel x Half Baked,Sat Nov 18 11:59:00 CET 2022,https://www.eventbrite.it/e/biglietti-u-feel-x-half-baked-464251828717?aff=ebdssbdestsearch,Super Club Milano
Milano Wargames - AREA GDR,Mon Nov 27 10:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-milano-wargames-area-gdr-444014207447?aff=ebdssbdestsearch,Parco Esposizioni Novegro Novegro-Tregarezzo
BNB Chain Innovation Meetup - İstanbul,Wed Nov 15 06:00:00 CET 2022,https://www.eventbrite.com/e/bnb-chain-innovation-meetup-istanbul-tickets-460150341057?aff=ebdssbdestsearch,Bomonti bira fabrikası Istanbul İstanbul
Discothèque - New Years Eve 2022/23,Sun Dec 31 09:00:00 CET 2022,https://www.eventbrite.de/e/discotheque-new-years-eve-202223-tickets-405297073457?aff=ebdssbdestsearch,Spindler & Klatt Berlin
Decentralized Sustainability: Blockchain & Web3.0 enabling a greener future,Fri Dec 01 03:30:00 CET 2022,https://www.eventbrite.co.uk/e/decentralized-sustainability-blockchain-web30-enabling-a-greener-future-tickets-441465785047?aff=ebdssbdestsearch,Impact Hub Berlin Berlin
Future Talk: The Future of Air Travel,Tue Nov 14 05:00:00 CET 2022,https://www.eventbrite.at/e/future-talk-the-future-of-air-travel-tickets-420382002887?aff=ebdssbdestsearch,Vienna AirportCity Office Park 4 Schwechat
TUM IDEAward 2022,Fri Nov 24 06:00:00 CET 2022,https://www.eventbrite.de/e/tum-ideaward-2022-registration-443182539907?aff=ebdssbdestsearch,Foyer Audimax München
Corridoio o finestrino? Prenota un posto vicino a Sammy,Thu Nov 16 08:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-corridoio-o-finestrino-prenota-un-posto-vicino-a-sammy-426730852467?aff=ebdssbdestsearch,Multisala Corso Treviso
Open Day - Scopri H-FARM International School,No Date,https://www.eventbrite.it/e/open-day-scopri-h-farm-international-school-tickets-439021203237?aff=ebdssbdestsearch,H-FARM CAMPUS Roncade
Evento special Vintage Calle Corte Legrenzi,No Date,https://www.eventbrite.com/e/biglietti-evento-special-vintage-calle-corte-legrenzi-443367021697?aff=ebdssbdestsearch,Corte Legrenzi Venezia
The Shade - 12 Novembre,No Date,https://www.eventbrite.it/e/biglietti-the-shade-12-novembre-456896950077?aff=ebdssbdestsearch,Limonaia di Villa Strozzi Firenze
TalksOnDesign: Design System alla ricerca della coerenza,Wed Nov 15 06:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-talksondesign-design-system-alla-ricerca-della-coerenza-428568759697?aff=ebdssbdestsearch,Nana Bianca Firenze
Current Trends in Funding Israel and Worldwide,Mon Nov 13 06:45:00 CET 2022,https://www.eventbrite.co.uk/e/current-trends-in-funding-israel-and-worldwide-tickets-460633696787?aff=ebdssbdestsearch,דיזי פרישדון תל �?ביב מחוז תל �?ביב
BeThrifty Vintage Kilo Sale | München | 25. & 26.  November,Sat Nov 25 01:00:00 CET 2022,https://www.eventbrite.ca/e/bethrifty-vintage-kilo-sale-munchen-25-26-november-tickets-430812430577?aff=ebdssbdestsearch,Audi Dome München
Eurekalabria | ITNOG on the Road - Lamezia Terme,Thu Nov 16 09:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-eurekalabria-itnog-on-the-road-lamezia-terme-450442273967?aff=ebdssbdestsearch,Lamezia Terme Lamezia Terme
Caccia al Tesoro a Treviso_settima tappa TCW2022,Mon Nov 13 10:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-caccia-al-tesoro-a-treviso-settima-tappa-tcw2022-442939212107?aff=ebdssbdestsearch,Treviso Treviso
EdTech after the Pandemic: Successes and Learnings,Fri Dec 01 06:30:00 CET 2022,https://www.eventbrite.com/e/edtech-after-the-pandemic-successes-and-learnings-tickets-433514973957?aff=ebdssbdestsearch,Factory Berlin Görlitzer Park Berlin
"Liceo Classico ""S.M. Legnani""- Open Day n.1 -  20",Mon Nov 20 08:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-liceo-classico-sm-legnani-open-day-n1-20-439216457247?aff=ebdssbdestsearch,Via Angelo Volonterio 34 Saronno
La Casa di Babbo Natale Arezzo,Sat Nov 25 12:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-la-casa-di-babbo-natale-arezzo-421314953367?aff=ebdssbdestsearch,Palazzo della Fraternita dei Laici Arezzo
Napa Talks 2022 & Award Ceremony,Sat Nov 18 11:00:00 CET 2022,https://www.eventbrite.com/e/napa-talks-2022-award-ceremony-tickets-438933089687?aff=ebdssbdestsearch,MO muziejus Vilnius
25° Compleanno THE SUN - EVENTO ESCLUSIVO @Assisi,Sun Dec 03 07:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-25-compleanno-the-sun-evento-esclusivo-assisi-413286439867?aff=ebdssbdestsearch,Teatro Lyrick Assisi Santa Maria degli Angeli
Alt-Finance Day 2022,Fri Nov 24 09:15:00 CET 2022,https://www.eventbrite.it/e/biglietti-alt-finance-day-2022-439070310117?aff=ebdssbdestsearch,Palazzo dei Giureconsulti Milano
Beyond green - alle radici della vera sostenibilità,Sat Nov 25 03:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-beyond-green-alle-radici-della-vera-sostenibilita-420561900967?aff=ebdssbdestsearch,Auditorium Campus Scientifico Università Ca' Foscari Mestre
"★LIVE STAND UP COMEDY★im Comedy Club ""Mad Monkey Room"" | 18:00h| 030 COMEDY",Mon Nov 13 06:00:00 CET 2022,https://www.eventbrite.de/e/live-stand-up-comedyim-comedy-club-mad-monkey-room-1800h-030-comedy-tickets-383463679187?aff=ebdssbdestsearch,Mad Monkey Room Berlin
DAMA Italy Annual Convention 2022,Sat Nov 25 09:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-dama-italy-annual-convention-2022-429060841527?aff=ebdssbdestsearch,FICO Eataly World Bologna
NOTTURNA: Viaggio nei Tarocchi tra affreschi e mistero,Sun Nov 26 09:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-notturna-viaggio-nei-tarocchi-tra-affreschi-e-mistero-411339045157?aff=ebdssbdestsearch,CASTELLO DI MALPAGA CAVERNAGO
Thanksgiving Dinner,Fri Nov 24 07:00:00 CET 2022,https://www.eventbrite.com/e/thanksgiving-dinner-tickets-429043930947?aff=ebdssbdestsearch,NBN TLV Hub Tel Aviv-Yafo Tel Aviv District
87. ZEIT Forum Wissenschaft,Thu Nov 23 07:00:00 CET 2022,https://www.eventbrite.de/e/87-zeit-forum-wissenschaft-tickets-458445040457?aff=ebdssbdestsearch,Berlin-Brandenburgische Akademie der Wissenschaften Berlin
silent.move walk'n'dance disco tour // Berlin.,Sat Nov 18 08:30:00 CET 2022,https://www.eventbrite.de/e/silentmove-walkndance-disco-tour-berlin-tickets-157180987565?aff=ebdssbdestsearch,Gendarmenmarkt Berlin
Next Block Expo OPENING PARTY - Blockchain Festival Night 1,Wed Nov 22 10:00:00 CET 2022,https://www.eventbrite.com/e/next-block-expo-opening-party-blockchain-festival-night-1-tickets-453915903687?aff=ebdssbdestsearch,Warschauer Pl. 18 Berlin
OPEN DAY  | Corsi di Disegno e Pittura | Milano Painting Academy,No Date,https://www.eventbrite.it/e/biglietti-open-day-corsi-di-disegno-e-pittura-milano-painting-academy-172957489507?aff=ebdssbdestsearch,Via Francesco de Sanctis 34 Milano
La fusione a Padova,Tue Nov 21 03:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-la-fusione-a-padova-444130545417?aff=ebdssbdestsearch,Aula Magna di Palazzo Bo Padova
Comedy im Hörsaal Wien,Thu Nov 23 07:00:00 CET 2022,https://www.eventbrite.com/e/comedy-im-horsaal-wien-tickets-430156027257?aff=ebdssbdestsearch,Universität Wien Fakultät Mathematik Wien
